City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Kapaa,US,2021-09-22 22:29:05,22.0752,-159.319,84.18,70,40,4.0
117,Te Anau,NZ,2021-09-22 22:29:05,-45.4167,167.7167,50.49,72,14,0.94
118,Hobart,AU,2021-09-22 22:29:05,-42.8794,147.3294,61.27,53,75,13.0
119,Lata,PT,2021-09-22 22:29:06,40.1629,-8.3327,64.81,80,100,3.74
120,Thies,SN,2021-09-22 22:29:06,14.8342,-17.1061,82.29,89,20,4.61
121,East London,ZA,2021-09-22 22:29:06,-33.0153,27.9116,61.75,77,1,19.37
122,Constitucion,CL,2021-09-22 22:29:07,-35.3333,-72.4167,54.34,75,5,11.83
123,Aklavik,CA,2021-09-22 22:29:07,68.2191,-135.0107,38.23,68,100,13.35
124,Haines Junction,CA,2021-09-22 22:29:08,60.7522,-137.5108,37.35,56,98,4.61
125,Inhambane,MZ,2021-09-22 22:29:08,-23.865,35.3833,66.09,74,61,9.55
126,Husavik,IS,2021-09-22 22:29:08,66.0449,-17.3389,39.11,85,94,8.79
127,Alice Springs,AU,2021-09-22 22:26:00,-23.7,133.8833,47.75,40,2,0.0
128,Sioux Lookout,CA,2021-09-22 22:29:09,50.1001,-91.917,68.38,45,40,10.36
129,Ketchikan,US,2021-09-22 22:29:09,55.3422,-131.6461,54.07,71,75,9.22
130,Caravelas,BR,2021-09-22 22:29:10,-17.7125,-39.2481,73.29,65,99,16.28
131,Ponta Do Sol,PT,2021-09-22 22:29:10,32.6667,-17.1,72.23,66,100,6.13
132,Saint-Pierre,RE,2021-09-22 22:29:11,-21.3393,55.4781,67.64,70,20,6.91
133,San Andres,CO,2021-09-22 22:29:11,12.5847,-81.7006,86.02,74,20,6.91
134,Tuatapere,NZ,2021-09-22 22:29:11,-46.1333,167.6833,53.82,62,13,3.11
135,Thompson,CA,2021-09-22 22:25:00,55.7435,-97.8558,59.16,88,90,0.0
136,Lagunas,PE,2021-09-22 22:29:12,-5.2269,-75.6753,73.06,98,99,0.6
137,Nalobikha,RU,2021-09-22 22:29:12,53.2006,84.6039,37.17,94,100,6.73
138,Bull Savanna,JM,2021-09-22 22:29:13,17.8868,-77.5902,81.28,75,100,3.49
139,Mindelo,CV,2021-09-22 22:29:13,16.8901,-24.9804,78.35,73,20,26.46
140,Port Elizabeth,ZA,2021-09-22 22:29:13,-33.918,25.5701,61.09,88,0,12.66
141,Ercis,TR,2021-09-22 22:29:14,39.0287,43.3586,65.8,49,39,4.25
142,Beaverlodge,CA,2021-09-22 22:29:14,55.2166,-119.4361,60.15,34,3,22.5
143,Celendin,PE,2021-09-22 22:29:14,-6.8703,-78.1517,66.72,81,100,2.28
144,Norman Wells,CA,2021-09-22 22:29:15,65.282,-126.8329,33.84,93,90,14.97
145,Port Augusta,AU,2021-09-22 22:29:15,-32.5,137.7667,56.71,67,0,0.94
