City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Nisia Floresta,BR,88.18,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
558,Labuhan,ID,78.94,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
559,Sabha,LY,83.91,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
561,Kita,ML,89.44,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
563,Mahibadhoo,MV,83.01,few clouds,3.7833,72.9667,Omadhoo Inn
565,Nador,MA,80.67,few clouds,35.174,-2.9287,Hôtel La Giralda
570,Conway,US,78.35,scattered clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
583,Cabo San Lucas,MX,88.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
584,Westport,US,78.98,clear sky,41.1415,-73.3579,The Westport Inn
585,Talisayan,PH,79.59,overcast clouds,6.9872,121.9272,Mar y Monte Resort
588,Menongue,AO,78.62,clear sky,-14.6585,17.691,Ritz Lauca
594,Umm Lajj,SA,81.82,clear sky,25.0213,37.2685,Moon light Furnished Units
601,Candolim,IN,81.66,light rain,15.5181,73.7626,Resort Terra Paraiso
605,Sinjar,IQ,80.4,clear sky,36.3209,41.8754,زوماني فون 1
607,Nago,JP,82.47,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
610,Potiskum,NG,88.47,clear sky,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
612,Lazaro Cardenas,MX,85.14,broken clouds,17.9583,-102.2,quinta antigua
613,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
616,Nuevitas,CU,85.35,overcast clouds,21.5453,-77.2644,Hotel Caonaba
617,Naze,JP,77.56,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
621,Garmsar,IR,76.41,clear sky,35.2182,52.3409,آذین فوم
622,Sola,VU,79.21,scattered clouds,-13.8833,167.55,Leumerus Bungalows
623,Salinas,US,86.04,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
625,San Jose,US,82.6,smoke,37.3394,-121.895,The Westin San Jose
628,Mamallapuram,IN,82.45,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
630,La Cruz,MX,85.62,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
635,Barpeta,IN,80.69,scattered clouds,26.3167,91.0,MJ GUEST HOUSE
636,Palau,PW,80.56,broken clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
637,Stephenville,US,80.94,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
638,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
639,Tahta,EG,84.52,clear sky,26.7693,31.5021,مصطفي عساف
640,Gizo,SB,81.73,broken clouds,-8.103,156.8419,Imagination Island
647,Rabaul,PG,79.48,scattered clouds,-4.1967,152.1721,Rabaul Hotel
649,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
656,Caibarien,CU,83.43,few clouds,22.5206,-79.4669,La Nena
657,Kanchanaburi,TH,75.45,moderate rain,14.6333,99.1,แพบุญศรี
661,Auki,SB,76.44,scattered clouds,-8.7676,160.7034,Auki Motel
664,Una,IN,79.52,scattered clouds,20.8167,71.0333,Hotel Harbhole
673,Bhitarwar,IN,82.44,few clouds,25.8,78.1167,H.G.Batham Home
679,Ranong,TH,78.15,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
682,Port Keats,AU,78.78,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
685,Kilis,TR,75.43,scattered clouds,36.7161,37.115,Kilis Konağı Butik Otel
